Date,T_ambient,T_trunk1,T_trunk4,T_exhaust2,T_tank1_bottom,T_tank1_top,T_zone1,T_zone2,T_pool1,V_trunk,Pyranometer,MD_zone1,MD_zone2,MD_exhaust1,Blower,P_tank1,P_pool1,T_zone3,T_zone4,MD_fresh,E_air_array,E_air_dhw,E_air_space,E_air_pool,E_night_flush,E_air_space2,E_night_flush2,E_pv_array,E_home,Vent,Pv_volts,Pv_volts2,Pv_volts3,Pv_volts4,Pv_amps,Pv_amps2,Pv_amps3,Pv_amps4,Pv_status,Pv_status2,Pv_status3,Pv_status4,Z_resets,Alerts,T_inverter,T_inverter2,T_inverter3,T_inverter4,E_inverter,E_inverter2,E_inverter3,E_inverter4,Th_fan,Th1_hvac,Th2_hvac,Th3_hvac,Th4_hvac,Th1_mode,Th2_mode,Th3_mode,Th4_mode,Th1_setpoint,Th2_setpoint,Th3_setpoint,Th4_setpoint,E_pv_life,E_dhw_life,E_space_life,E_night_life,E_pool_life
Wed Aug  3 01:39:00 2016,999.0,37.9,35.9,35.9,75.4,78.4,24.5,25.8,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,188.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,0,0,0,1,0,35.00,0.00,0.00,0.00,16.498,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.56,25.56,0.00,0.00,8037.799,2476.811,0.000,0.000,0.000
Wed Aug  3 01:54:00 2016,999.0,37.8,35.8,35.8,75.3,78.3,24.6,25.3,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,4.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,16.498,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.56,25.56,0.00,0.00,8037.799,2476.811,0.000,0.000,0.000
Wed Aug  3 02:09:01 2016,999.0,37.6,35.6,35.6,75.2,78.3,25.2,25.6,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,16.498,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,22.78,22.78,0.00,0.00,8037.799,2476.811,0.000,0.000,0.000
Wed Aug  3 02:24:01 2016,999.0,37.4,35.5,35.5,75.0,78.2,25.2,26.1,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,16.498,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,22.78,22.78,0.00,0.00,8037.799,2476.811,0.000,0.000,0.000
Wed Aug  3 02:39:01 2016,999.0,37.2,35.3,35.3,74.8,78.1,24.8,25.7,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,16.498,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,22.78,22.78,0.00,0.00,8037.799,2476.811,0.000,0.000,0.000
Wed Aug  3 02:54:01 2016,999.0,37.1,35.2,35.2,74.7,78.1,24.7,25.6,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,16.498,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,22.78,22.78,0.00,0.00,8037.799,2476.811,0.000,0.000,0.000
Wed Aug  3 03:09:01 2016,999.0,36.9,35.1,35.1,74.6,78.0,24.5,25.3,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,16.498,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,22.78,22.78,0.00,0.00,8037.799,2476.811,0.000,0.000,0.000
Wed Aug  3 03:24:01 2016,999.0,36.8,35.1,35.1,74.5,77.9,24.4,25.3,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,16.498,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,22.78,22.78,0.00,0.00,8037.799,2476.811,0.000,0.000,0.000
Wed Aug  3 03:39:01 2016,999.0,36.7,35.0,35.0,74.3,77.9,24.2,25.0,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,16.498,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,22.78,22.78,0.00,0.00,8037.799,2476.811,0.000,0.000,0.000
Wed Aug  3 03:54:01 2016,999.0,36.5,34.8,34.8,74.2,77.8,24.2,25.0,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,16.498,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,22.78,22.78,0.00,0.00,8037.799,2476.811,0.000,0.000,0.000
Wed Aug  3 04:09:01 2016,999.0,36.4,34.8,34.8,74.1,77.8,24.1,24.7,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,16.498,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,22.78,22.78,0.00,0.00,8037.799,2476.811,0.000,0.000,0.000
