Date,T_ambient,T_trunk1,T_trunk4,T_exhaust2,T_tank1_bottom,T_tank1_top,T_zone1,T_zone2,T_pool1,V_trunk,Pyranometer,MD_zone1,MD_zone2,MD_exhaust1,Blower,P_tank1,P_pool1,T_zone3,T_zone4,MD_fresh,E_air_array,E_air_dhw,E_air_space,E_air_pool,E_night_flush,E_air_space2,E_night_flush2,E_pv_array,E_home,Vent,Pv_volts,Pv_volts2,Pv_volts3,Pv_volts4,Pv_amps,Pv_amps2,Pv_amps3,Pv_amps4,Pv_status,Pv_status2,Pv_status3,Pv_status4,Z_resets,Alerts,T_inverter,T_inverter2,T_inverter3,T_inverter4,E_inverter,E_inverter2,E_inverter3,E_inverter4,Th_fan,Th1_hvac,Th2_hvac,Th3_hvac,Th4_hvac,Th1_mode,Th2_mode,Th3_mode,Th4_mode,Th1_setpoint,Th2_setpoint,Th3_setpoint,Th4_setpoint,E_pv_life,E_dhw_life,E_space_life,E_night_life,E_pool_life
Sun Jul 10 05:33:06 2016,999.0,33.6,31.7,31.7,70.4,74.4,21.9,22.5,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,14.094,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
Sun Jul 10 05:48:06 2016,999.0,33.5,31.7,31.7,70.2,74.3,21.9,22.5,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,14.094,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
Sun Jul 10 06:03:06 2016,999.0,33.4,31.7,31.7,70.1,74.2,21.9,22.5,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,14.094,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
Sun Jul 10 06:18:06 2016,999.0,33.3,31.5,31.5,66.6,74.2,21.7,22.3,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,14.094,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
Sun Jul 10 06:33:06 2016,999.0,33.2,31.4,31.4,66.0,74.1,21.7,22.0,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,14.094,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
Sun Jul 10 06:48:06 2016,999.0,33.1,31.4,31.4,65.9,74.0,21.4,21.8,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,14.094,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
Sun Jul 10 07:03:06 2016,999.0,33.1,31.4,31.4,65.8,73.9,21.4,21.7,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
Sun Jul 10 07:17:54 2016,999.0,33.0,31.4,31.4,65.7,73.8,21.0,21.7,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
Sun Jul 10 07:32:54 2016,999.0,32.9,31.3,31.3,65.6,73.8,20.6,21.6,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0,2,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
Sun Jul 10 07:47:54 2016,999.0,32.8,31.2,31.2,65.5,73.7,20.3,21.3,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,0.000,0.000,0.000,0.000,0,2,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
